BROKERTITLE,TYPE,PRICE,BEDS,BATH,PROPERTYSQFT,ADDRESS,STATE,MAIN_ADDRESS,ADMINISTRATIVE_AREA_LEVEL_2,LOCALITY,SUBLOCALITY,STREET_NAME,LONG_NAME,FORMATTED_ADDRESS,LATITUDE,LONGITUDE
Brokered by Keller Williams Ny Realty,Multi-family home for sale,1100000,6,3.0,2837.0,1038 Throggs Neck Expy Unit Sr,"Bronx, NY 10465","1038 Throggs Neck Expy Unit SrBronx, NY 10465",United States,New York,Bronx County,The Bronx,Throgs Neck Expressway,"1038 Throgs Neck Expy, Bronx, NY 10465, USA",40.8343936,-73.8221101
NoBroker,Multi-family home for sale,925000,5,2.0,2750.0,543 Hollywood Ave,"Bronx, NY 10465","543 Hollywood AveBronx, NY 10465",United States,New York,Bronx County,The Bronx,Hollywood Avenue,"543 Hollywood Ave, Bronx, NY 10465, USA",40.8242389,-73.8173809
Brokered by Exp Realty,Multi-family home for sale,700000,6,2.0,3053.0,229 W Tremont Ave Unit A,"Bronx, NY 10453","229 W Tremont Ave Unit ABronx, NY 10453",United States,New York,Bronx County,The Bronx,West Tremont Avenue,"229 W Tremont Ave, Bronx, NY 10453, USA",40.852813,-73.9176871
Brokered by Meyers Enterprise Realty Group,Land for sale,119000,3,2.3738608579684373,2184.207862,3652 DE Reimer Ave,"Bronx, NY 10466","3652 DE Reimer AveBronx, NY 10466",United States,New York,Bronx County,The Bronx,De Reimer Avenue,"3652 De Reimer Ave, Bronx, NY 10466, USA",40.8841699,-73.8388387
Brokered by Prospes Real Estate Corp,Multi-family home for sale,600000,2,2.0,2184.207862,1406 Mac Donough Pl,"Bronx, NY 10465","1406 Mac Donough PlBronx, NY 10465",United States,New York,Bronx County,The Bronx,Mac Donough Place,"1406 Mac Donough Pl, Bronx, NY 10465, USA",40.8429545,-73.8249591
Brokered by Sowae Corp,House for sale,245000,3,1.0,2184.207862,2942 Lurting Ave,"Bronx, NY 10469","2942 Lurting AveBronx, NY 10469",United States,New York,Bronx County,The Bronx,Lurting Avenue,"2942 Lurting Ave, Bronx, NY 10469, USA",40.8690109,-73.8564445
Brokered by Americas Real Estate Advisors,House for sale,400000,7,3.0,2385.0,340 E 234th St,"Bronx, NY 10470","340 E 234th StBronx, NY 10470",United States,New York,Bronx County,The Bronx,East 234th Street,"340 E 234th St, Bronx, NY 10470, USA",40.8969146,-73.8654984
Brokered by Douglas Elliman - 3544 Johnson Ave,House for sale,688888,4,2.0,2846.0,761 S Oak Dr,"Bronx, NY 10467","761 S Oak DrBronx, NY 10467",United States,New York,Bronx County,The Bronx,South Oak Drive,"761 S Oak Dr, Bronx, NY 10467, USA",40.8726182,-73.8651768
Brokered by Berkshire Hathaway HomeServices New York Properties - Eastchester,Co-op for sale,259000,3,2.0,1089.0,7E Edgewater Park Unit E,"Bronx, NY 10465","7E Edgewater Park Unit EBronx, NY 10465",United States,New York,Bronx County,The Bronx,Edgewater Park,"7C Edgewater Park, Bronx, NY 10465, USA",40.8246371,-73.8072061
Brokered by TREBACH REALTY INC,House for sale,1249000,3,2.3738608579684373,2184.207862,3021 Arlington Ave,"Bronx, NY 10463","3021 Arlington AveBronx, NY 10463",United States,New York,Bronx County,The Bronx,Arlington Avenue,"3021 Arlington Ave, Bronx, NY 10463, USA",40.8822913,-73.9137305
