BROKERTITLE,TYPE,PRICE,BEDS,BATH,PROPERTYSQFT,ADDRESS,STATE,MAIN_ADDRESS,ADMINISTRATIVE_AREA_LEVEL_2,LOCALITY,SUBLOCALITY,STREET_NAME,LONG_NAME,FORMATTED_ADDRESS,LATITUDE,LONGITUDE
Brokered by Douglas Elliman  -111 Fifth Ave,Condo for sale,315000,2,2.0,1400.0,2 E 55th St Unit 803,"New York, NY 10022","2 E 55th St Unit 803New York, NY 10022",New York County,New York,Manhattan,East 55th Street,Regis Residence,"Regis Residence, 2 E 55th St #803, New York, NY 10022, USA",40.761255,-73.9744834
Brokered by Douglas Elliman  -111 Fifth Ave,Co-op for sale,3250000,2,2.0,1300.0,240 Centre St Unit 2M,"New York, NY 10013","240 Centre St Unit 2MNew York, NY 10013",New York County,New York,Manhattan,Centre Street,The Police Building,"The Police Building, 240 Centre St #2b, New York, NY 10013, USA",40.7199716,-73.9980266
Brokered by COMPASS,Condo for sale,2000000,3,2.0,2000.0,200 Rector Pl Unit 27EF,"Manhattan, NY 10280","200 Rector Pl Unit 27EFManhattan, NY 10280",New York County,New York,Manhattan,Rector Place,Liberty Court,"Liberty Court, 200 Rector Pl #27e, New York, NY 10280, USA",40.7086444,-74.0161953
Brokered by Douglas Elliman  -111 Fifth Ave,Condo for sale,559000,1,1.0,679.0,161 E 110th St Apt 6G,"New York, NY 10029","161 E 110th St Apt 6GNew York, NY 10029",New York County,New York,Manhattan,East 110th Street,Mirada,"Mirada, 161 E 110th St #6g, New York, NY 10029, USA",40.7945743,-73.9434214
Brokered by COMPASS,Condo for sale,4250000,3,4.0,2054.0,255 E 74th St Apt 16C,"Manhattan, NY 10021","255 E 74th St Apt 16CManhattan, NY 10021",New York County,New York,Manhattan,East 74th Street,Casa 74,"Casa 74, 255 E 74th St #16c, New York, NY 10021, USA",40.7704759,-73.9574549
Brokered by R New York,Condo for sale,16995000,4,4.0,3310.0,23 E 22nd St Unit 55B,"New York, NY 10010","23 E 22nd St Unit 55BNew York, NY 10010",New York County,New York,Manhattan,East 22nd Street,One Madison,"One Madison, 23 E 22nd St #55A, New York, NY 10010, USA",40.7405179,-73.9881093
Brokered by Brown Harris Stevens - 445 Park Avenue,Condop for sale,1065000,2,2.0,2184.207862,215 E 96th St Unit 25C,"Manhattan, NY 10128","215 E 96th St Unit 25CManhattan, NY 10128",New York County,New York,Manhattan,East 96th Street,One Carnegie Hill,"One Carnegie Hill, 215 E 96th St #25c, New York, NY 10128, USA",40.7850141,-73.9481639
Brokered by ANNE - Anne Weintraub,Co-op for sale,1050000,1,1.0,2184.207862,1 Fifth Ave Unit 10K,"New York, NY 10003","1 Fifth Ave Unit 10KNew York, NY 10003",New York County,New York,Manhattan,5th Avenue,Glucksman Ireland House,"Glucksman Ireland House, 1 5th Ave #10c, New York, NY 10003, USA",40.7316673,-73.996478
Brokered by Corcoran Chelsea/Flatiron,Condo for sale,2800000,2,2.0,1412.0,230 W 56th St Apt 62B,"New York, NY 10019","230 W 56th St Apt 62BNew York, NY 10019",New York County,New York,Manhattan,West 56th Street,Random House Tower,"Random House Tower, 230 W 56th St APT 62B, New York, NY 10019, USA",40.7652485,-73.9824857
Brokered by Highline Residential - Highline Residential,Co-op for sale,629000,1,1.0,2184.207862,600 W 111th St Unit 2B,"New York, NY 10025","600 W 111th St Unit 2BNew York, NY 10025",New York County,New York,Manhattan,West 111th Street,Five Guys,"Five Guys, 600 W 111th St #2b, New York, NY 10025, USA",40.8048821,-73.966726
Brokered by Corcoran Park Avenue South,Condo for sale,1995000,1,1.0,826.0,28 E 10th St Apt 1K,"New York, NY 10003","28 E 10th St Apt 1KNew York, NY 10003",New York County,New York,Manhattan,East 10th Street,Devonshire House,"Devonshire House, 28 E 10th St #1k, New York, NY 10003, USA",40.7324605,-73.9936315
Brokered by Douglas Elliman - 575 Madison Ave,Co-op for sale,595000,1,1.0,2184.207862,1199 Park Ave Apt 6J,"New York, NY 10128","1199 Park Ave Apt 6JNew York, NY 10128",New York County,New York,Manhattan,Park Avenue,T.H.I.S Town House international School,"T.H.I.S Town House international School, 1199 Park Ave #6j, New York, NY 10128, USA",40.7851736,-73.9527438
Brokered by Sotheby's International Realty - Downtown Manhattan,Condo for sale,950000,1,1.0,2184.207862,29 W 65th St Apt 2F,"New York, NY 10023","29 W 65th St Apt 2FNew York, NY 10023",New York County,New York,Manhattan,West 65th Street,Goldmark Practice Center,"Goldmark Practice Center, 29 W 65th St #2f, New York, NY 10023, USA",40.7727634,-73.9809139
Brokered by COMPASS,Co-op for sale,1695000,3,2.0,2184.207862,80 E End Ave Apt 8E,"Manhattan, NY 10028","80 E End Ave Apt 8EManhattan, NY 10028",New York County,New York,Manhattan,East End Avenue,80 East End Owners,"80 East End Owners, 80 East End Ave #8e, New York, NY 10028, USA",40.7731502,-73.9462859
Brokered by ANNE - Anne Weintraub,Co-op for sale,3950000,2,2.0,2184.207862,1 Fifth Ave Unit 19G,"New York, NY 10003","1 Fifth Ave Unit 19GNew York, NY 10003",New York County,New York,Manhattan,5th Avenue,Glucksman Ireland House,"Glucksman Ireland House, 1 5th Ave #19c, New York, NY 10003, USA",40.7316673,-73.996478
"Brokered by Nest Seekers International, Tribeca",Condo for sale,7750000,3,3.0,2184.207862,65 W 13th St Ph 1B,"New York, NY 10011","65 W 13th St Ph 1BNew York, NY 10011",New York County,New York,Manhattan,West 13th Street,Arnhold Hall,"Arnhold Hall, 65 W 13th St Ph 1B, New York, NY 10011, USA",40.7366739,-73.9966616
Brokered by Engel & V�������,Condo for sale,9975000,3,3.0,2241.0,15 Central Park W Apt 16G,"New York, NY 10023","15 Central Park W Apt 16GNew York, NY 10023",New York County,New York,Manhattan,Central Park West,15 Central Park West,"15 Central Park West, 15 Central Park W #16g, New York, NY 10023, USA",40.7697189,-73.9810746
Brokered by Corcoran West Side Gallery,Condo for sale,3995000,3,4.0,2456.0,360 E 88th St Ph 2B,"New York, NY 10128","360 E 88th St Ph 2BNew York, NY 10128",New York County,New York,Manhattan,East 88th Street,1st Avenue,"1st Avenue, 360 E 88th St Ph 2B, New York, NY 10128, USA",40.7781672,-73.9489094
Brokered by Anita Loewy,Condo for sale,2795000,2,2.0,1372.0,20 W 64th St Unit 18K,"New York, NY 10023","20 W 64th St Unit 18KNew York, NY 10023",New York County,New York,Manhattan,West 64th Street,1 Lincoln Plaza,"1 Lincoln Plaza, 20 W 64th St #18b, New York, NY 10023, USA",40.7716812,-73.9815796
Brokered by COMPASS,Condo for sale,5200000,2,3.0,1394.0,2 E 55th St Unit 1118,"Manhattan, NY 10022","2 E 55th St Unit 1118Manhattan, NY 10022",New York County,New York,Manhattan,East 55th Street,Regis Residence,"Regis Residence, 2 E 55th St #1118, New York, NY 10022, USA",40.761255,-73.9744834
Brokered by Sotheby's International Realty - East Side Manhattan Brokerage,Condo for sale,3995000,3,3.0,1856.0,230 W 56th St Apt 65B,"New York, NY 10019","230 W 56th St Apt 65BNew York, NY 10019",New York County,New York,Manhattan,West 56th Street,Random House Tower,"Random House Tower, 230 W 56th St APT 65B, New York, NY 10019, USA",40.7652485,-73.9824857
