BROKERTITLE,TYPE,PRICE,BEDS,BATH,PROPERTYSQFT,ADDRESS,STATE,MAIN_ADDRESS,ADMINISTRATIVE_AREA_LEVEL_2,LOCALITY,SUBLOCALITY,STREET_NAME,LONG_NAME,FORMATTED_ADDRESS,LATITUDE,LONGITUDE
Brokered by Sowae Corp,House for sale,260000,4,2.0,2015.0,620 Sinclair Ave,"Staten Island, NY 10312","620 Sinclair AveStaten Island, NY 10312",United States,New York,Richmond County,Staten Island,Sinclair Avenue,"620 Sinclair Ave, Staten Island, NY 10312, USA",40.5418051,-74.1961086
Brokered by Connie Profaci Realty,House for sale,16800000,8,16.0,33000.0,177 Benedict Rd,"Staten Island, NY 10304","177 Benedict RdStaten Island, NY 10304",United States,New York,Richmond County,Staten Island,Benedict Road,"177 Benedict Rd, Staten Island, NY 10304, USA",40.5950017,-74.1064235
Brokered by Re/Max Edge,Townhouse for sale,689000,3,2.3738608579684373,1162.0,456 Van Name Ave,"Staten Island, NY 10303","456 Van Name AveStaten Island, NY 10303",United States,New York,Richmond County,Staten Island,Van Name Avenue,"456 Van Name Ave, Staten Island, NY 10303, USA",40.6249962,-74.1553058
Brokered by Radiant Estates LLC,House for sale,639999,3,2.0,1260.0,27 Clove Way,"Staten Island, NY 10301","27 Clove WayStaten Island, NY 10301",United States,New York,Richmond County,Staten Island,Clove Way,"27 Clove Way, Staten Island, NY 10301, USA",40.6207403,-74.1114362
Brokered by Elizabeth Marra,House for sale,750000,2,2.0,1330.0,280 Loretto St,"Staten Island, NY 10307","280 Loretto StStaten Island, NY 10307",United States,New York,Richmond County,Staten Island,Loretto Street,"280 Loretto St, Staten Island, NY 10307, USA",40.5039785,-74.2396555
Brokered by Get Listed Get Sold NYC,Condo for sale,329000,1,2.0,794.0,47 Lynn Ct,"Staten Island, NY 10314","47 Lynn CtStaten Island, NY 10314",United States,New York,Richmond County,Staten Island,Lynn Court,"47 Lynn Ct, Staten Island, NY 10314, USA",40.6210398,-74.1504313
Brokered by Staten Island Homes Realty Corp,Multi-family home for sale,1199000,6,5.0,3290.0,10 Simon Ct,"Staten Island, NY 10307","10 Simon CtStaten Island, NY 10307",United States,New York,Richmond County,Staten Island,Simon Court,"10 Simon Ct, Staten Island, NY 10307, USA",40.5159256,-74.2361135
Brokered by Wonica REALTORS & Appraisers,Multi-family home for sale,889000,2,2.0,1520.0,17 S Greenleaf Ave,"Staten Island, NY 10314","17 S Greenleaf AveStaten Island, NY 10314",United States,New York,Richmond County,Staten Island,South Greenleaf Avenue,"17 S Greenleaf Ave, Staten Island, NY 10314, USA",40.6233188,-74.1259917
"Brokered by Homes R Us Realty of NY, Inc.",Multi-family home for sale,1049000,4,4.0,2554.0,342 Manhattan St,"Staten Island, NY 10307","342 Manhattan StStaten Island, NY 10307",United States,New York,Richmond County,Staten Island,Manhattan Street,"342 Manhattan St, Staten Island, NY 10307, USA",40.5016233,-74.2417531
Brokered by American Homes Group,House for sale,998800,3,4.0,2400.0,1191 Clove Rd,"Staten Island, NY 10301","1191 Clove RdStaten Island, NY 10301",United States,New York,Richmond County,Staten Island,Clove Road,"1191 Clove Rd, Staten Island, NY 10301, USA",40.6175,-74.103996
