TYPE,PRICE,BEDS,BATH,PROPERTYSQFT,BOROUGH
Multi-family home for sale,1100000,6,3,2837,Bronx
Multi-family home for sale,925000,5,2,2750,Bronx
Multi-family home for sale,700000,6,2,3053,Bronx
Autre_Type,119000,3,2,2184,Bronx
Multi-family home for sale,600000,2,2,2184,Bronx
House for sale,245000,3,1,2184,Bronx
House for sale,400000,7,3,2385,Bronx
House for sale,688888,4,2,2846,Bronx
Co-op for sale,259000,3,2,1089,Bronx
House for sale,1249000,3,2,2184,Bronx
Co-op for sale,69900,2,1,700,Bronx
House for sale,499000,5,2,1760,Bronx
Multi-family home for sale,1050000,5,4,3132,Bronx
Townhouse for sale,650000,3,2,1638,Bronx
Multi-family home for sale,425000,5,2,2184,Bronx
House for sale,549000,5,3,496,Bronx
House for sale,888000,4,2,2686,Bronx
House for sale,1300000,3,2,2184,Bronx
House for sale,1300000,3,2,2184,Bronx
Multi-family home for sale,999000,6,2,3144,Bronx
House for sale,999000,6,2,1280,Bronx
Multi-family home for sale,899000,6,3,3683,Bronx
Condo for sale,200000,1,1,613,Bronx
Multi-family home for sale,650000,6,2,2310,Bronx
Multi-family home for sale,899000,8,2,2160,Bronx
Multi-family home for sale,875000,6,3,2860,Bronx
Multi-family home for sale,850000,5,2,1908,Bronx
Multi-family home for sale,875000,7,5,2680,Bronx
Multi-family home for sale,799000,7,2,2296,Bronx
Multi-family home for sale,799000,7,2,2296,Bronx
Co-op for sale,400000,2,2,1150,Bronx
Multi-family home for sale,699999,6,2,2184,Bronx
Multi-family home for sale,799000,5,3,2400,Bronx
House for sale,769000,4,2,1728,Bronx
House for sale,499999,2,1,1744,Bronx
Autre_Type,289000,3,2,2184,Bronx
Autre_Type,450000,3,2,2184,Bronx
Autre_Type,2000000,3,2,2184,Bronx
Autre_Type,795000,3,2,2184,Bronx
Autre_Type,1245000,3,2,2184,Bronx
Co-op for sale,215000,2,2,747,Bronx
House for sale,275000,2,1,1104,Bronx
Co-op for sale,159000,2,1,1010,Bronx
House for sale,729000,3,2,1400,Bronx
House for sale,599000,4,2,1500,Bronx
Multi-family home for sale,849000,4,2,2180,Bronx
Autre_Type,1395000,3,2,2184,Bronx
House for sale,5500000,8,6,9000,Bronx
Multi-family home for sale,425000,3,2,1700,Bronx
House for sale,569000,3,3,1780,Bronx
Autre_Type,560000,4,2,2318,Bronx
Multi-family home for sale,925000,4,2,2160,Bronx
House for sale,609000,3,2,1620,Bronx
Multi-family home for sale,1375000,14,8,6000,Bronx
House for sale,700000,3,2,1620,Bronx
Multi-family home for sale,689000,6,3,2184,Bronx
Multi-family home for sale,800000,6,3,2202,Bronx
Multi-family home for sale,899975,6,3,1952,Bronx
Multi-family home for sale,865000,6,3,2464,Bronx
House for sale,499000,2,2,1350,Bronx
Multi-family home for sale,650000,6,2,2184,Bronx
Multi-family home for sale,1599999,6,2,4073,Bronx
Condo for sale,435000,3,2,1034,Bronx
House for sale,1290000,3,2,2905,Bronx
Townhouse for sale,650000,3,2,1912,Bronx
Multi-family home for sale,879000,4,2,1998,Bronx
Multi-family home for sale,999000,7,3,3036,Bronx
House for sale,889000,3,2,2184,Bronx
Co-op for sale,249000,2,1,800,Bronx
House for sale,579000,4,2,2184,Bronx
Multi-family home for sale,999000,4,3,2270,Bronx
Multi-family home for sale,749000,4,2,1420,Bronx
Multi-family home for sale,7200000,3,2,48000,Bronx
Co-op for sale,295000,1,1,2184,Bronx
House for sale,560000,3,2,2184,Bronx
Co-op for sale,295000,1,1,2184,Bronx
Condo for sale,469888,2,2,1164,Bronx
House for sale,465000,2,2,988,Bronx
Multi-family home for sale,699000,3,2,2034,Bronx
House for sale,575000,5,3,2076,Bronx
House for sale,639000,3,2,1224,Bronx
Multi-family home for sale,674999,5,2,2600,Bronx
House for sale,1250000,6,3,2400,Bronx
Multi-family home for sale,1195000,11,6,2184,Bronx
House for sale,529000,3,2,1650,Bronx
Multi-family home for sale,869000,6,3,1526,Bronx
House for sale,749000,3,2,1480,Bronx
House for sale,1200000,4,4,3300,Bronx
House for sale,1200000,4,4,3300,Bronx
Multi-family home for sale,899999,5,3,1800,Bronx
House for sale,1299000,3,4,4450,Bronx
House for sale,995000,3,2,3080,Bronx
Multi-family home for sale,749999,6,3,3150,Bronx
House for sale,535000,3,3,1328,Bronx
House for sale,699000,6,4,2223,Bronx
House for sale,749000,3,2,1600,Bronx
House for sale,5900000,7,8,10100,Bronx
