BROKERTITLE,TYPE,PRICE,BEDS,BATH,PROPERTYSQFT,ADDRESS,STATE,MAIN_ADDRESS,ADMINISTRATIVE_AREA_LEVEL_2,LOCALITY,SUBLOCALITY,STREET_NAME,LONG_NAME,FORMATTED_ADDRESS,LATITUDE,LONGITUDE
Brokered by CENTURY 21 MK Realty,Co-op for sale,440000,2,1.0,978.0,1350 Ocean Pkwy Apt 5G,"Brooklyn, NY 11230","1350 Ocean Pkwy Apt 5GBrooklyn, NY 11230",New York,Kings County,Brooklyn,Midwood,1350,"1350 Ocean Pkwy #5g, Brooklyn, NY 11230, USA",40.6157378,-73.9696944
Brokered by Dorsa Group Realty,Co-op for sale,199000,3,1.0,325.0,9430 Ridge Blvd Apt 6D,"Brooklyn, NY 11209","9430 Ridge Blvd Apt 6DBrooklyn, NY 11209",New York,Kings County,Brooklyn,Fort Hamilton,9430,"9430 Ridge Blvd #6d, Brooklyn, NY 11209, USA",40.6181029,-74.0369047
Brokered by H P Greenfield Real Estate Ltd,Co-op for sale,279000,1,1.0,750.0,1801 Ocean Ave Apt 4A,"Brooklyn, NY 11230","1801 Ocean Ave Apt 4ABrooklyn, NY 11230",New York,Kings County,Brooklyn,Midwood,1801,"1801 Ocean Ave #4a, Brooklyn, NY 11230, USA",40.6179165,-73.9546305
Brokered by Ashford Homes LLC,Condo for sale,528000,1,1.0,602.0,1238 63rd St Unit 432,"Brooklyn, NY 11219","1238 63rd St Unit 432Brooklyn, NY 11219",New York,Kings County,Brooklyn,Dyker Heights,1238,"1238 63rd St #432, Brooklyn, NY 11219, USA",40.6275896,-74.0016198
Brokered by Corcoran Park Slope,Condo for sale,1165000,1,1.0,815.0,338 Berry St Apt 4E,"Brooklyn, NY 11249","338 Berry St Apt 4EBrooklyn, NY 11249",New York,Kings County,Brooklyn,Williamsburg,338,"338 Berry St #4e, Brooklyn, NY 11249, USA",40.711969,-73.9649468
Brokered by Douglas Elliman  -111 Fifth Ave,Condo for sale,1650000,2,2.0,1267.0,473 Hicks St Apt 4,"Brooklyn, NY 11231","473 Hicks St Apt 4Brooklyn, NY 11231",New York,Kings County,Brooklyn,Cobble Hill,473,"473 Hicks St APT 4, Brooklyn, NY 11231, USA",40.6866098,-73.9997131
Brokered by DEGI - Douglas Elliman Real Estate,For sale,3150000,3,2.0,1952.0,184 Lincoln Pl Unit 2,"Brooklyn, NY 11217","184 Lincoln Pl Unit 2Brooklyn, NY 11217",New York,Kings County,Brooklyn,Park Slope,184,"184 Lincoln Pl #2, Brooklyn, NY 11217, USA",40.6754035,-73.9742051
Brokered by Piastro Realty LLC,Co-op for sale,559500,1,1.0,800.0,50 Brighton 1 Rd Unit 5H,"Brooklyn, NY 11235","50 Brighton 1 Rd Unit 5HBrooklyn, NY 11235",New York,Kings County,Brooklyn,Brighton Beach,50,"50 Brighton 1st Rd #5h, Brooklyn, NY 11235, USA",40.5751942,-73.9669983
Brokered by Corcoran Williamsburg Bedford,Condo for sale,1250000,2,2.0,1201.0,1105 Cortelyou Rd # 301,"Brooklyn, NY 11218","1105 Cortelyou Rd # 301Brooklyn, NY 11218",New York,Kings County,Brooklyn,Flatbush,1105,"1105 Cortelyou Rd #301, Brooklyn, NY 11218, USA",40.6400234,-73.9676099
Brokered by COMPASS,Condo for sale,1395000,2,2.0,1182.0,737 Bergen St Apt 1B,"Brooklyn, NY 11238","737 Bergen St Apt 1BBrooklyn, NY 11238",New York,Kings County,Brooklyn,Prospect Heights,737,"737 Bergen St #1b, Brooklyn, NY 11238, USA",40.6787789,-73.9643728
Brokered by Serhant,Condo for sale,1175000,2,2.0,1115.0,924 Lafayette Ave Apt 2,"Brooklyn, NY 11221","924 Lafayette Ave Apt 2Brooklyn, NY 11221",New York,Kings County,Brooklyn,Bedford-Stuyvesant,924,"924 Lafayette Ave #2, Brooklyn, NY 11221, USA",40.6915139,-73.935444
Brokered by STROFFOLINO REALTY LLC,Co-op for sale,539000,2,2.0,1100.0,9425 Shore Rd Apt 4F,"Brooklyn, NY 11209","9425 Shore Rd Apt 4FBrooklyn, NY 11209",New York,Kings County,Brooklyn,Fort Hamilton,9425,"9425 Shore Rd #4f, Brooklyn, NY 11209, USA",40.6170731,-74.0383836
Brokered by Brown Harris Stevens,Co-op for sale,280000,1,1.0,1000.0,8015 6th Ave Apt A1,"Brooklyn, NY 11209","8015 6th Ave Apt A1Brooklyn, NY 11209",New York,Kings County,Brooklyn,Bay Ridge,8015,"8015 6th Ave Apt A1, Brooklyn, NY 11209, USA",40.6241766,-74.0216837
Brokered by Homefinders of SI Inc.,Condo for sale,250000,3,1.0,2184.207862,3105 Avenue V Apt 1F,"Brooklyn, NY 11229","3105 Avenue V Apt 1FBrooklyn, NY 11229",New York,Kings County,Brooklyn,Sheepshead Bay,3105,"3105 Ave V #1f, Brooklyn, NY 11229, USA",40.5997081,-73.9344974
Brokered by COMPASS,Co-op for sale,1895000,2,2.0,2184.207862,905 Union St Apt 1,"Brooklyn, NY 11215","905 Union St Apt 1Brooklyn, NY 11215",New York,Kings County,Brooklyn,Park Slope,905,"905 Union St Apartment 1, Brooklyn, NY 11215, USA",40.673976,-73.973535
Brokered by ROCKAWAY PROPERTIES,Condo for sale,725000,2,2.0,792.0,627 Wilson Ave Apt 3,"Brooklyn, NY 11207","627 Wilson Ave Apt 3Brooklyn, NY 11207",New York,Kings County,Brooklyn,Bushwick,627,"627 Wilson Ave #3, Brooklyn, NY 11207, USA",40.6898164,-73.9062474
Brokered by Pride Estates,Co-op for sale,498000,2,1.0,975.0,138 71st St Apt E10,"Brooklyn, NY 11209","138 71st St Apt E10Brooklyn, NY 11209",New York,Kings County,Brooklyn,Bay Ridge,138,"138 71st St Apt E10, Brooklyn, NY 11209, USA",40.6351164,-74.0311609
"Brokered by MAXIMILLION REALTY, INC.",Co-op for sale,288000,1,1.0,845.0,3901 Nostrand Ave Apt 4C,"Brooklyn, NY 11235","3901 Nostrand Ave Apt 4CBrooklyn, NY 11235",New York,Kings County,Brooklyn,Sheepshead Bay,3901,"3901 Nostrand Ave. #4c, Brooklyn, NY 11235, USA",40.5894827,-73.9395372
Brokered by RE MAX Edge,Co-op for sale,295000,2,1.0,700.0,1275 E 5th St Apt 6A,"Brooklyn, NY 11230","1275 E 5th St Apt 6ABrooklyn, NY 11230",New York,Kings County,Brooklyn,Midwood,1275,"1275 E 5th St #6a, Brooklyn, NY 11230, USA",40.6196386,-73.9707307
Brokered by Corcoran Park Slope,Co-op for sale,849000,2,1.0,800.0,299 13th St Apt 3D,"Brooklyn, NY 11215","299 13th St Apt 3DBrooklyn, NY 11215",New York,Kings County,Brooklyn,Park Slope,299,"299 13th St #3d, Brooklyn, NY 11215, USA",40.6662599,-73.9870141
Brokered by Corcoran Park Slope,Co-op for sale,849000,2,1.0,800.0,299 13th St Apt 3D,"Brooklyn, NY 11215","299 13th St Apt 3DBrooklyn, NY 11215",New York,Kings County,Brooklyn,Park Slope,299,"299 13th St #3d, Brooklyn, NY 11215, USA",40.6662599,-73.9870141
Brokered by RE MAX Elite,Co-op for sale,418888,2,1.0,900.0,946 59th St Apt 4B,"Brooklyn, NY 11219","946 59th St Apt 4BBrooklyn, NY 11219",New York,Kings County,Brooklyn,Borough Park,946,"946 59th St #4b, Brooklyn, NY 11219, USA",40.6339124,-74.0058434
Brokered by Corcoran Brooklyn Heights,Co-op for sale,370000,1,1.0,2184.207862,100 Remsen St Apt 3F,"Brooklyn, NY 11201","100 Remsen St Apt 3FBrooklyn, NY 11201",New York,Kings County,Brooklyn,Brooklyn Heights,100,"100 Remsen St #3f, Brooklyn, NY 11201, USA",40.6939582,-73.9943695
Brokered by Douglas Elliman - 187 Seventh Ave,Co-op for sale,259000,1,1.0,750.0,3500 Snyder Ave Apt 5N,"Brooklyn, NY 11203","3500 Snyder Ave Apt 5NBrooklyn, NY 11203",New York,Kings County,Brooklyn,Little Haiti,3500,"3500 Snyder Ave #5n, Brooklyn, NY 11203, USA",40.6491203,-73.9440658
Brokered by 5 Boro Realty Corp,Condo for sale,99000,1,1.0,2184.207862,1368 E 92nd St Unit 300,"Brooklyn, NY 11236","1368 E 92nd St Unit 300Brooklyn, NY 11236",New York,Kings County,Brooklyn,Canarsie,1368,"1368 E 92nd St #300, Brooklyn, NY 11236, USA",40.6372545,-73.9002674
Brokered by Douglas Elliman - 1410 Cortelyou Rd,Co-op for sale,535000,1,1.0,750.0,192 E 8th St Apt 1C,"Brooklyn, NY 11218","192 E 8th St Apt 1CBrooklyn, NY 11218",New York,Kings County,Brooklyn,Kensington,192,"192 E 8th St #1c, Brooklyn, NY 11218, USA",40.6453011,-73.9723049
Brokered by Corcoran Bedford Stuyvesant,Condo for sale,289000,1,1.0,666.0,1065 Vermont St Apt 4G,"Brooklyn, NY 11207","1065 Vermont St Apt 4GBrooklyn, NY 11207",New York,Kings County,Brooklyn,East New York,1065,"1065 Vermont St #4g, Brooklyn, NY 11207, USA",40.6541622,-73.8846778
Brokered by COMPASS,Condo for sale,699000,1,1.0,616.0,435 Tompkins Ave Unit 305,"Brooklyn, NY 11216","435 Tompkins Ave Unit 305Brooklyn, NY 11216",New York,Kings County,Brooklyn,Bedford-Stuyvesant,435,"435 Tompkins Ave #305, Brooklyn, NY 11216, USA",40.6826476,-73.9434923
Brokered by Century 21 Realty First,Land for sale,5800,3,2.3738608579684373,2184.207862,4515 Avenue N Lot 5,"Brooklyn, NY 11234","4515 Avenue N Lot 5Brooklyn, NY 11234",New York,Kings County,Brooklyn,Flatlands,4515,"4515 Avenue N #5, Brooklyn, NY 11234, USA",40.618915,-73.931211
Brokered by COMPASS,Condo for sale,1355000,2,2.0,1002.0,435 Tompkins Ave Unit 703,"Brooklyn, NY 11216","435 Tompkins Ave Unit 703Brooklyn, NY 11216",New York,Kings County,Brooklyn,Bedford-Stuyvesant,435,"435 Tompkins Ave #703, Brooklyn, NY 11216, USA",40.6826476,-73.9434923
Brokered by COMPASS,Condo for sale,1225000,2,2.0,882.0,435 Tompkins Ave Unit 602,"Brooklyn, NY 11216","435 Tompkins Ave Unit 602Brooklyn, NY 11216",New York,Kings County,Brooklyn,Bedford-Stuyvesant,435,"435 Tompkins Ave #602, Brooklyn, NY 11216, USA",40.6826476,-73.9434923
Brokered by Douglas Elliman - 237 Smith St,Co-op for sale,599000,3,1.0,1200.0,7901 4th Ave Apt F7,"Brooklyn, NY 11209","7901 4th Ave Apt F7Brooklyn, NY 11209",New York,Kings County,Brooklyn,Bay Ridge,7901,"7901 4th Ave Apt D7, Brooklyn, NY 11209, USA",40.6279352,-74.0260154
Brokered by Douglas Elliman - 575 Madison Ave,Condo for sale,965000,3,1.0,540.0,9 Dekalb Ave Unit 54E,"Brooklyn, NY 11201","9 Dekalb Ave Unit 54EBrooklyn, NY 11201",New York,Kings County,Brooklyn,Downtown Brooklyn,9,"9 Dekalb Ave #54, Brooklyn, NY 11201, USA",40.6903851,-73.9825343
Brokered by Realty Executives Powerhouse,Condo for sale,485000,3,2.0,2184.207862,901 E 106th St Unit 1A,"Brooklyn, NY 11236","901 E 106th St Unit 1ABrooklyn, NY 11236",New York,Kings County,Brooklyn,Canarsie,901,"901 E 106th St #1a, Brooklyn, NY 11236, USA",40.6479766,-73.8936697
Brokered by Madison Estates Sotheby's International Realty,Co-op for sale,215000,3,1.0,1100.0,1075 Ocean Pkwy Apt 1C,"Brooklyn, NY 11230","1075 Ocean Pkwy Apt 1CBrooklyn, NY 11230",New York,Kings County,Brooklyn,Midwood,1075,"1075 Ocean Pkwy #1c, Brooklyn, NY 11230, USA",40.622324,-73.9695073
Brokered by Corcoran SoHo,Co-op for sale,565000,1,1.0,2184.207862,78 8th Ave Apt 2K,"Brooklyn, NY 11215","78 8th Ave Apt 2KBrooklyn, NY 11215",New York,Kings County,Brooklyn,Park Slope,78,"78 8th Ave #2k, Brooklyn, NY 11215, USA",40.6733809,-73.9732475
Brokered by Corcoran Long Island City,Co-op for sale,350000,2,1.0,825.0,274 S 2nd St Apt 30,"Brooklyn, NY 11211","274 S 2nd St Apt 30Brooklyn, NY 11211",New York,Kings County,Brooklyn,Williamsburg,274,"274 S 2nd St Apartment 30, Brooklyn, NY 11211, USA",40.711175,-73.957086
Brokered by Corcoran Brooklyn Heights,Pending,529900,1,1.0,630.0,175 Adams St Apt 10E,"Brooklyn, NY 11201","175 Adams St Apt 10EBrooklyn, NY 11201",New York,Kings County,Brooklyn,Downtown Brooklyn,175,"175 Adams St #10e, Brooklyn, NY 11201, USA",40.6985714,-73.9881911
Brokered by Top Nest Inc,Co-op for sale,219000,3,1.0,1050.0,2229 Knapp St Apt 2A,"Brooklyn, NY 11229","2229 Knapp St Apt 2ABrooklyn, NY 11229",New York,Kings County,Brooklyn,Gerritsen Beach,2229,"2229 Knapp St #2a, Brooklyn, NY 11229, USA",40.5988908,-73.9334675
