BROKERTITLE,TYPE,PRICE,BEDS,BATH,PROPERTYSQFT,ADDRESS,STATE,MAIN_ADDRESS,ADMINISTRATIVE_AREA_LEVEL_2,LOCALITY,SUBLOCALITY,STREET_NAME,LONG_NAME,FORMATTED_ADDRESS,LATITUDE,LONGITUDE
Brokered by Sowae Corp,House for sale,690000,5,2.0,4004.0,584 Park Pl,"Brooklyn, NY 11238","584 Park PlBrooklyn, NY 11238",United States,New York,Kings County,Brooklyn,Park Place,"584 Park Pl, Brooklyn, NY 11238, USA",40.6743632,-73.9587248
Brokered by RE MAX Edge,Multi-family home for sale,848000,5,4.0,2080.0,544 Hinsdale St,"Brooklyn, NY 11207","544 Hinsdale StBrooklyn, NY 11207",United States,New York,Kings County,Brooklyn,Hinsdale Street,"544 Hinsdale St, Brooklyn, NY 11207, USA",40.6615475,-73.898309
Brokered by Century 21 Realty First,Multi-family home for sale,2150000,8,4.0,3200.0,2226 63rd St,"Brooklyn, NY 11204","2226 63rd StBrooklyn, NY 11204",United States,New York,Kings County,Brooklyn,63rd Street,"2226 63rd St, Brooklyn, NY 11204, USA",40.614446,-73.9795824
Brokered by eXp Realty BKNY,Multi-family home for sale,1200000,4,2.0,2536.0,66 Bay 22nd St,"Brooklyn, NY 11214","66 Bay 22nd StBrooklyn, NY 11214",United States,New York,Kings County,Brooklyn,Bay 22nd Street,"66 Bay 22nd St, Brooklyn, NY 11214, USA",40.6042861,-74.0012526
Brokered by RE MAX Edge,Multi-family home for sale,1999000,3,3.0,2739.0,259 80th St,"Brooklyn, NY 11209","259 80th StBrooklyn, NY 11209",United States,New York,Kings County,Brooklyn,80th Street,"259 80th St, Brooklyn, NY 11209, USA",40.6281691,-74.0297598
Brokered by Serhant,Condo for sale,1595000,3,3.0,1413.0,924 Lafayette Ave Unit Ph,"Brooklyn, NY 11221","924 Lafayette Ave Unit PhBrooklyn, NY 11221",United States,New York,Kings County,Brooklyn,Lafayette Avenue,"924 Lafayette Ave, Brooklyn, NY 11221, USA",40.6915139,-73.935444
Brokered by Douglas Elliman - 575 Madison Ave,Condo for sale,655000,3,2.0,803.0,1504 Jefferson Ave Unit Gardenb,"Brooklyn, NY 11237","1504 Jefferson Ave Unit GardenbBrooklyn, NY 11237",United States,New York,Kings County,Brooklyn,Jefferson Avenue,"1504 Jefferson Ave, Brooklyn, NY 11237, USA",40.6967268,-73.9074036
"Brokered by Dom Realty, Inc",Land for sale,2550000,3,2.3738608579684373,2184.207862,234 Ocean View Ave,"Brooklyn, NY 11235","234 Ocean View AveBrooklyn, NY 11235",United States,New York,Kings County,Brooklyn,Ocean View Avenue,"234 Ocean View Ave, Brooklyn, NY 11235, USA",40.5785288,-73.9655666
Brokered by BROWN HARRIS STEVENS BROOKLYN LLC,House for sale,8750000,6,6.0,2184.207862,8200 Narrows Ave,"Brooklyn, NY 11209","8200 Narrows AveBrooklyn, NY 11209",United States,New York,Kings County,Brooklyn,Narrows Avenue,"8200 Narrows Ave, Brooklyn, NY 11209, USA",40.6282935,-74.0379695
"Brokered by Tom Marco Real Estate, Inc.",House for sale,595000,3,1.0,1316.0,1509 E 48th St,"Brooklyn, NY 11234","1509 E 48th StBrooklyn, NY 11234",United States,New York,Kings County,Brooklyn,East 48th Street,"1509 E 48th St, Brooklyn, NY 11234, USA",40.6239146,-73.9291226
Brokered by Sowae Corp,House for sale,314000,3,1.0,1572.0,850 E 39th St,"Brooklyn, NY 11210","850 E 39th StBrooklyn, NY 11210",United States,New York,Kings County,Brooklyn,East 39th Street,"850 E 39th St, Brooklyn, NY 11210, USA",40.6362368,-73.939679
Brokered by Cross Country Realty,Coming Soon,649000,4,3.0,2184.207862,194 Carroll St,"Brooklyn, NY 11231","194 Carroll StBrooklyn, NY 11231",United States,New York,Kings County,Brooklyn,Carroll Street,"194 Carroll St, Brooklyn, NY 11231, USA",40.6813429,-73.9981509
Brokered by Charles Rutenberg Realty Inc,Pending,739000,6,4.0,2184.207862,38 Dare Ct,"Brooklyn, NY 11229","38 Dare CtBrooklyn, NY 11229",United States,New York,Kings County,Brooklyn,Dare Court,"38 Dare Ct, Brooklyn, NY 11229, USA",40.5877991,-73.9216187
Brokered by Douglas Elliman - 187 Seventh Ave,House for sale,3950000,5,2.0,3528.0,591 4th St,"Brooklyn, NY 11215","591 4th StBrooklyn, NY 11215",United States,New York,Kings County,Brooklyn,4th Street,"591 4th St, Brooklyn, NY 11215, USA",40.6680619,-73.9748375
NoBroker,Pending,4800000,6,2.3738608579684373,3958.0,1151 83rd St,"Brooklyn, NY 11228","1151 83rd StBrooklyn, NY 11228",United States,New York,Kings County,Brooklyn,83rd Street,"1151 83rd St, Brooklyn, NY 11228, USA",40.6178184,-74.0151165
Brokered by Sowae Corp,House for sale,400000,4,2.0,1980.0,781 Sheperd Ave,"Brooklyn, NY 11208","781 Sheperd AveBrooklyn, NY 11208",United States,New York,Kings County,Brooklyn,Shepherd Avenue,"781 Shepherd Ave, Brooklyn, NY 11208, USA",40.665357,-73.8770867
Brokered by Sowae Corp,House for sale,400000,4,2.0,1980.0,781 Sheperd Ave,"Brooklyn, NY 11208","781 Sheperd AveBrooklyn, NY 11208",United States,New York,Kings County,Brooklyn,Shepherd Avenue,"781 Shepherd Ave, Brooklyn, NY 11208, USA",40.665357,-73.8770867
Brokered by ONLY NINE REALTY LLC,House for sale,275000,4,1.0,2184.207862,579 E 29th St,"Brooklyn, NY 11210","579 E 29th StBrooklyn, NY 11210",United States,New York,Kings County,Brooklyn,East 29th Street,"579 E 29th St, Brooklyn, NY 11210, USA",40.6366859,-73.9488175
Brokered by Winzone Realty Inc,House for sale,1880000,3,4.0,3150.0,3758 Bayview Ave,"Brooklyn, NY 11224","3758 Bayview AveBrooklyn, NY 11224",United States,New York,Kings County,Brooklyn,Bayview Avenue,"3758 Bayview Ave, Brooklyn, NY 11224, USA",40.5805262,-74.0061062
Brokered by Leven Real Estate - Head Office,Townhouse for sale,15000000,8,6.0,2184.207862,126 Pierrepont St,"Brooklyn, NY 11201","126 Pierrepont StBrooklyn, NY 11201",United States,New York,Kings County,Brooklyn,Pierrepont Street,"126 Pierrepont St, Brooklyn, NY 11201, USA",40.6948972,-73.9925741
Brokered by TALK OF THE TOWN REALTY C,House for sale,675000,3,2.0,2400.0,2519 Mill Ave,"Brooklyn, NY 11234","2519 Mill AveBrooklyn, NY 11234",United States,New York,Kings County,Brooklyn,Mill Avenue,"2519 Mill Ave, Brooklyn, NY 11234, USA",40.610206,-73.91065
Brokered by COMPASS,Townhouse for sale,2400000,4,2.0,1892.0,396 A 9th St Unit 2,"Brooklyn, NY 11215","396 A 9th St Unit 2Brooklyn, NY 11215",United States,New York,Kings County,Brooklyn,9th Street,"396A 9th St, Brooklyn, NY 11215, USA",40.6674938,-73.9832146
Brokered by RE MAX Real Estate Professionals,House for sale,1649000,3,2.0,2052.0,1217 84th St,"Brooklyn, NY 11228","1217 84th StBrooklyn, NY 11228",United States,New York,Kings County,Brooklyn,84th Street,"1217 84th St, Brooklyn, NY 11228, USA",40.6164182,-74.0142443
Brokered by RE MAX Elite,House for sale,1088888,3,4.0,1320.0,1568 W 2nd St,"Brooklyn, NY 11204","1568 W 2nd StBrooklyn, NY 11204",United States,New York,Kings County,Brooklyn,West 2nd Street,"1568 W 2nd St, Brooklyn, NY 11204, USA",40.6090909,-73.9762651
Brokered by Flateau Realty Corp,Coming Soon,1695000,5,2.0,2250.0,871 Putnam Ave,"Ny, NY 11221","871 Putnam AveNy, NY 11221",United States,New York,Kings County,Brooklyn,Putnam Avenue,"871 Putnam Ave, Brooklyn, NY 11221, USA",40.686947,-73.9261885
Brokered by Sotheby's International Realty - Downtown Manhattan,Townhouse for sale,1970000,4,4.0,2508.0,59 Duffield St,"Brooklyn, NY 11201","59 Duffield StBrooklyn, NY 11201",United States,New York,Kings County,Brooklyn,Duffield Street,"59 Duffield St, Brooklyn, NY 11201, USA",40.6965326,-73.9839654
Brokered by Corcoran Westside Columbus,House for sale,800000,3,2.0,825.0,1485 E 53rd St,"Brooklyn, NY 11234","1485 E 53rd StBrooklyn, NY 11234",United States,New York,Kings County,Brooklyn,East 53rd Street,"1485 E 53rd St, Brooklyn, NY 11234, USA",40.6222734,-73.924094
Brokered by Corcoran West Side Gallery,For sale,2400000,6,6.0,6688.0,726 Nostrand Ave,"Brooklyn, NY 11216","726 Nostrand AveBrooklyn, NY 11216",United States,New York,Kings County,Brooklyn,Nostrand Avenue,"726 Nostrand Ave., Brooklyn, NY 11216, USA",40.6738566,-73.9506085
Brokered by Ilite Realty Inc,Co-op for sale,459000,3,2.0,1250.0,2475 W 16th St Apt 19H,"Brooklyn, NY 11214","2475 W 16th St Apt 19HBrooklyn, NY 11214",United States,New York,Kings County,Brooklyn,2475,"2475 W 16th St #19h, Brooklyn, NY 11214, USA",40.5866482,-73.9845156
Brokered by Brp Associates Inc,Multi-family home for sale,1499000,9,6.0,3519.0,2619 Shore Pkwy,"Brooklyn, NY 11223","2619 Shore PkwyBrooklyn, NY 11223",United States,New York,Kings County,Brooklyn,Shore Parkway,"2619 Shore Pkwy, Brooklyn, NY 11223, USA",40.583514,-73.9738903
Brokered by Brp Associates Inc,Multi-family home for sale,1499000,9,6.0,3519.0,2619 Shore Pkwy,"Brooklyn, NY 11223","2619 Shore PkwyBrooklyn, NY 11223",United States,New York,Kings County,Brooklyn,Shore Parkway,"2619 Shore Pkwy, Brooklyn, NY 11223, USA",40.583514,-73.9738903
Brokered by Century 21 Realty First,Condo for sale,839000,3,2.0,1376.0,8895 26th Ave Apt 5A,"Brooklyn, NY 11214","8895 26th Ave Apt 5ABrooklyn, NY 11214",United States,New York,Kings County,Brooklyn,8895,"8895 26th Ave #5a, Brooklyn, NY 11214, USA",40.5905451,-73.9910402
Brokered by Citadel Circle Realty,House for sale,615000,3,2.0,2184.207862,534 Powell St,"Brownville, NY 11212","534 Powell StBrownville, NY 11212",United States,New York,Kings County,Brooklyn,Powell Street,"534 Powell St, Brooklyn, NY 11212, USA",40.6610456,-73.9019953
Brokered by Corcoran Park Slope,House for sale,1575000,3,2.0,2184.207862,530 4th St,"Brooklyn, NY 11215","530 4th StBrooklyn, NY 11215",United States,New York,Kings County,Brooklyn,4th Street,"530 4th St, Brooklyn, NY 11215, USA",40.6683947,-73.9762195
Brokered by Corcoran SoHo,For sale,2700000,8,4.0,2184.207862,122 Willoughby Ave,"Brooklyn, NY 11205","122 Willoughby AveBrooklyn, NY 11205",United States,New York,Kings County,Brooklyn,Willoughby Avenue,"122 Willoughby Ave, Brooklyn, NY 11205, USA",40.6914843,-73.9676428
Brokered by Spire Group Inc.- Main Office,House for sale,550000,3,2.0,2184.207862,4211 Snyder Ave,"Brooklyn, NY 11203","4211 Snyder AveBrooklyn, NY 11203",United States,New York,Kings County,Brooklyn,Snyder Avenue,"4211 Snyder Ave, Brooklyn, NY 11203, USA",40.6498755,-73.9375091
Brokered by EXP Realty,Multi-family home for sale,3000000,10,10.0,2184.207862,120 Pierrepont St,"Brooklyn Heights, NY 11201","120 Pierrepont StBrooklyn Heights, NY 11201",United States,New York,Kings County,Brooklyn,Pierrepont Street,"120 Pierrepont St, Brooklyn, NY 11201, USA",40.6949321,-73.9928542
Brokered by Gosen Properties Inc,Townhouse for sale,2649000,5,4.0,4050.0,282 Macon St,"Brooklyn, NY 11216","282 Macon StBrooklyn, NY 11216",United States,New York,Kings County,Brooklyn,Macon Street,"282 Macon St, Brooklyn, NY 11216, USA",40.6820924,-73.9393924
Brokered by Gosen Properties Inc,Townhouse for sale,2649000,5,4.0,4050.0,282 Macon St,"Brooklyn, NY 11216","282 Macon StBrooklyn, NY 11216",United States,New York,Kings County,Brooklyn,Macon Street,"282 Macon St, Brooklyn, NY 11216, USA",40.6820924,-73.9393924
Brokered by RE MAX Real Estate Professionals,Multi-family home for sale,2600000,3,3.0,3978.0,99 Bay 11th St,"Brooklyn, NY 11228","99 Bay 11th StBrooklyn, NY 11228",United States,New York,Kings County,Brooklyn,Bay 11th Street,"99 Bay 11th St, Brooklyn, NY 11228, USA",40.6083914,-74.0100209
Brokered by CENTURY 21 Dawn's Gold Realty,Multi-family home for sale,979000,8,3.0,2860.0,309 E 96th St,"Brooklyn, NY 11212","309 E 96th StBrooklyn, NY 11212",United States,New York,Kings County,Brooklyn,East 96th Street,"309 E 96th St, Brooklyn, NY 11212, USA",40.6597134,-73.9195979
"Brokered by MAXIMILLION REALTY, INC.",Multi-family home for sale,1350000,6,3.0,3000.0,2535 E 24th St,"Brooklyn, NY 11235","2535 E 24th StBrooklyn, NY 11235",United States,New York,Kings County,Brooklyn,East 24th Street,"2535 E 24th St, Brooklyn, NY 11235, USA",40.5902653,-73.9455056
Brokered by Corcoran Williamsburg Bedford,For sale,989000,7,3.0,2184.207862,1408 Remsen Ave,"Brooklyn, NY 11236","1408 Remsen AveBrooklyn, NY 11236",United States,New York,Kings County,Brooklyn,Remsen Avenue,"1408 Remsen Ave, Brooklyn, NY 11236, USA",40.6360957,-73.9018295
Brokered by Momentum Real Estate Llc,Multi-family home for sale,1949000,3,5.0,2560.0,11 Brighton 10th Path,"Brooklyn, NY 11235","11 Brighton 10th PathBrooklyn, NY 11235",United States,New York,Kings County,Brooklyn,Brighton 10th Path,"11 Brighton 10th Path, Brooklyn, NY 11235, USA",40.5813374,-73.9589282
Brokered by Fillmore Real Estate,Multi-family home for sale,900500,4,2.0,2184.207862,10716 Avenue J,"Brooklyn, NY 11236","10716 Avenue JBrooklyn, NY 11236",United States,New York,Kings County,Brooklyn,Avenue J,"10716 Avenue J, Brooklyn, NY 11236, USA",40.6468871,-73.8907758
Brokered by KELLER WILLIAMS REALTY LANDMARK II,Multi-family home for sale,1350000,10,5.0,3383.0,188 Richmond St,"Brooklyn, NY 11208","188 Richmond StBrooklyn, NY 11208",United States,New York,Kings County,Brooklyn,Richmond Street,"188 Richmond St, Brooklyn, NY 11208, USA",40.6828535,-73.8769965
Brokered by OneSpace Realty Group LLC,House for sale,799000,5,3.0,1800.0,1124 E 51st St,"Brooklyn, NY 11234","1124 E 51st StBrooklyn, NY 11234",United States,New York,Kings County,Brooklyn,East 51st Street,"1124 E 51st St, Brooklyn, NY 11234, USA",40.6336127,-73.9276041
"Brokered by Empire City Properties, LLC",Multi-family home for sale,860000,5,3.0,2324.0,3743 Neptune Ave,"Brooklyn, NY 11224","3743 Neptune AveBrooklyn, NY 11224",United States,New York,Kings County,Brooklyn,Neptune Avenue,"3743 Neptune Ave, Brooklyn, NY 11224, USA",40.5768936,-74.0048793
Brokered by The Turner Realty Group Inc,Multi-family home for sale,1500000,8,3.0,3135.0,1601 Nostrand Ave,"Brooklyn, NY 11226","1601 Nostrand AveBrooklyn, NY 11226",United States,New York,Kings County,Brooklyn,Nostrand Avenue,"1601 Nostrand Ave., Brooklyn, NY 11226, USA",40.6471477,-73.9489423
Brokered by CENTURY 21 Achievers,Multi-family home for sale,1500000,3,2.0,2184.207862,3115 Glenwood Rd,"Brooklyn, NY 11210","3115 Glenwood RdBrooklyn, NY 11210",United States,New York,Kings County,Brooklyn,Glenwood Road,"3115 Glenwood Rd, Brooklyn, NY 11210, USA",40.634316,-73.9462919
Brokered by Century 21 AA Realty,Multi-family home for sale,2499000,5,4.0,1340.0,181 Park Ave,"Brooklyn, NY 11205","181 Park AveBrooklyn, NY 11205",United States,New York,Kings County,Brooklyn,Park Avenue,"181 Park Ave, Brooklyn, NY 11205, USA",40.6962962,-73.9720502
Brokered by Brownstone Real Estate LLC - Carroll Gardens,Townhouse for sale,5295000,4,4.0,4600.0,75 2nd Pl,"Brooklyn, NY 11231","75 2nd PlBrooklyn, NY 11231",United States,New York,Kings County,Brooklyn,2nd Place,"75 2nd Pl, Brooklyn, NY 11231, USA",40.6800067,-73.9982111
Brokered by Apollo Point Realty LLC,House for sale,600000,5,2.0,2184.207862,392 E 7th St,"Kensington, NY 11218","392 E 7th StKensington, NY 11218",United States,New York,Kings County,Brooklyn,East 7th Street,"392 E 7th St, Brooklyn, NY 11218, USA",40.6422956,-73.972787
Brokered by J Shayovitz Real Estate Corp,Land for sale,650000,3,2.3738608579684373,2184.207862,2998 Fulton St,"Brooklyn, NY 11208","2998 Fulton StBrooklyn, NY 11208",United States,New York,Kings County,Brooklyn,Fulton Street,"2998 Fulton St, Brooklyn, NY 11208, USA",40.6799197,-73.8839962
Brokered by Douglas Elliman  -111 Fifth Ave,Multi-family home for sale,995000,5,2.0,2184.207862,544 Madison St,"Brooklyn, NY 11221","544 Madison StBrooklyn, NY 11221",United States,New York,Kings County,Brooklyn,Madison Street,"544 Madison St, Brooklyn, NY 11221, USA",40.6862289,-73.9364224
