BROKERTITLE,TYPE,PRICE,BEDS,BATH,PROPERTYSQFT,ADDRESS,STATE,MAIN_ADDRESS,ADMINISTRATIVE_AREA_LEVEL_2,LOCALITY,SUBLOCALITY,STREET_NAME,LONG_NAME,FORMATTED_ADDRESS,LATITUDE,LONGITUDE
Brokered by Douglas Elliman - 575 Madison Ave,Condo for sale,899500,2,2.0,2184.207862,157 W 126th St Unit 1B,"New York, NY 10027","157 W 126th St Unit 1BNew York, NY 10027",New York,New York County,New York,Manhattan,157,"157 W 126th St #1b, New York, NY 10027, USA",40.809448,-73.946777
Brokered by Corcoran Chelsea/Flatiron,Co-op for sale,895000,3,1.0,2184.207862,61 Jane St Apt 6N,"New York, NY 10014","61 Jane St Apt 6NNew York, NY 10014",New York,New York County,New York,Manhattan,61,"61 Jane St #6n, New York, NY 10014, USA",40.7382981,-74.0058899
Brokered by Century 21 Realty First,Multi-family home for sale,2250000,12,2.3738608579684373,5670.0,2361 81st St,"Brooklyn, NY 11214","2361 81st StBrooklyn, NY 11214",11214,United States,New York,Kings County,81st Street,"2361 81st St, Brooklyn, NY 11214, USA",40.602654,-73.9869399
Brokered by Brown Harris Stevens,Co-op for sale,4250000,3,2.0,2400.0,123 Prince St Unit 1,"Manhattan, NY 10012","123 Prince St Unit 1Manhattan, NY 10012",New York,New York County,New York,Manhattan,123,"123 Prince St Apt 1f, New York, NY 10012, USA",40.725464,-73.9999212
Brokered by American Homes Group,House for sale,998800,3,4.0,2400.0,Waldron Ave,"Staten Island, NY 10301","Waldron AveStaten Island, NY 10301",10301,United States,New York,Richmond County,Mid Island,"Waldron Ave, Staten Island, NY 10301, USA",40.618648,-74.1019085
Brokered by Brown Harris Stevens - 445 Park Avenue,Co-op for sale,849000,1,1.0,2184.207862,263 W End Ave Apt 14C,"Manhattan, NY 10023","263 W End Ave Apt 14CManhattan, NY 10023",New York,New York County,New York,Manhattan,263,"263 West End Ave #14c, New York, NY 10023, USA",40.7802357,-73.9846328
Brokered by Douglas Elliman - 575 Madison Ave,Co-op for sale,750000,1,1.0,835.0,333 E 66th St Apt 8E,"New York, NY 10065","333 E 66th St Apt 8ENew York, NY 10065",New York,New York County,New York,Manhattan,333,"333 E 66th St #8e, New York, NY 10065, USA",40.7643711,-73.9593578
Brokered by Douglas Elliman - 575 Madison Ave,Condo for sale,1900000,2,2.0,1029.0,150 Rivington St Apt 3G,"New York, NY 10002","150 Rivington St Apt 3GNew York, NY 10002",New York,New York County,New York,Manhattan,150,"150 Rivington St #3g, New York, NY 10002, USA",40.7193408,-73.9856438
Brokered by Corcoran Chelsea/Flatiron,Condo for sale,31000000,3,4.0,4492.0,111 W 57th St # 50,"New York, NY 10019","111 W 57th St # 50New York, NY 10019",New York,New York County,New York,Manhattan,111,"111 W 57th St #50, New York, NY 10019, USA",40.764953,-73.977568
Brokered by Douglas Elliman - 575 Madison Ave,Condo for sale,1650000,2,2.0,1065.0,200 E 94th St Apt 414,"New York, NY 10128","200 E 94th St Apt 414New York, NY 10128",New York,New York County,New York,Manhattan,200,"200 E 94th St APT 414, New York, NY 10128, USA",40.7833546,-73.9499982
