BROKERTITLE,TYPE,PRICE,BEDS,BATH,PROPERTYSQFT,ADDRESS,STATE,MAIN_ADDRESS,ADMINISTRATIVE_AREA_LEVEL_2,LOCALITY,SUBLOCALITY,STREET_NAME,LONG_NAME,FORMATTED_ADDRESS,LATITUDE,LONGITUDE
Brokered by Serhant,Condo for sale,195000000,7,10.0,17545.0,Central Park Tower Penthouse-217 W 57th New York St Unit Penthouse,"New York, NY 10019","Central Park Tower Penthouse-217 W 57th New York St Unit PenthouseNew York, NY 10019",United States,New York,New York County,New York,West 57th Street,"217 W 57th St, New York, NY 10019, USA",40.7663935,-73.9809909
Brokered by COMPASS,Condo for sale,69000,3,1.0,445.0,2 E 55th St Unit 908W33,"Manhattan, NY 10022","2 E 55th St Unit 908W33Manhattan, NY 10022",United States,New York,New York County,New York,East 55th Street,"2 E 55th St, New York, NY 10022, USA",40.7613979,-73.9746128
Brokered by Sotheby's International Realty - East Side Manhattan Brokerage,Townhouse for sale,55000000,7,2.3738608579684373,14175.0,5 E 64th St,"New York, NY 10065","5 E 64th StNew York, NY 10065",United States,New York,New York County,New York,East 64th Street,"5 E 64th St, New York, NY 10065, USA",40.7672235,-73.9698561
Brokered by Sotheby's International Realty - East Side Manhattan Brokerage,Townhouse for sale,65000000,3,2.3738608579684373,15200.0,4 E 79th St,"New York, NY 10075","4 E 79th StNew York, NY 10075",United States,New York,New York County,New York,East 79th Street,"4 E 79th St, New York, NY 10075, USA",40.7765613,-73.9633167
Brokered by COMPASS,Townhouse for sale,12950000,5,4.0,3344.0,214 W 11th St,"Manhattan, NY 10014","214 W 11th StManhattan, NY 10014",United States,New York,New York County,New York,West 11th Street,"214 W 11th St, New York, NY 10014, USA",40.7363219,-74.0018035
Built by Toll Brothers,For sale,950000,1,1.0,621.0,The Rockwell # 3A,"New York, NY 10025","The Rockwell # 3ANew York, NY 10025",United States,New York,New York County,New York,West 103rd Street,"218 W 103rd St, New York, NY 10025, USA",40.7986579,-73.9679035
Brokered by Brown Harris Stevens,Condo for sale,395000,5,1.0,1000.0,110 E 71st St Unit Medical,"Manhattan, NY 10021","110 E 71st St Unit MedicalManhattan, NY 10021",United States,New York,New York County,New York,East 71st Street,"110 E 71st St, New York, NY 10021, USA",40.7700395,-73.9638872
Brokered by Douglas Elliman - 575 Madison Ave,House for sale,55000000,8,8.0,12000.0,25 Riverside Dr,"New York, NY 10023","25 Riverside DrNew York, NY 10023",United States,New York,New York County,New York,Riverside Drive,"25 Riverside Dr, New York, NY 10023, USA",40.782238,-73.9846322
Built by Toll Brothers,For sale,2280000,2,2.0,1400.0,The Rockwell # 6E,"New York, NY 10025","The Rockwell # 6ENew York, NY 10025",United States,New York,New York County,New York,West 103rd Street,"218 W 103rd St, New York, NY 10025, USA",40.7986579,-73.9679035
Brokered by Sotheby's International Realty - East Side Manhattan Brokerage,Townhouse for sale,2695000,6,5.0,4720.0,327 Convent Ave,"New York, NY 10031","327 Convent AveNew York, NY 10031",United States,New York,New York County,New York,Convent Avenue,"327 Convent Ave, New York, NY 10031, USA",40.8235127,-73.9467514
Brokered by Corcoran East Side,Townhouse for sale,24800000,6,8.0,2184.207862,45 E 74th St,"New York, NY 10021","45 E 74th StNew York, NY 10021",United States,New York,New York County,New York,East 74th Street,"45 E 74th St, New York, NY 10021, USA",40.772929,-73.9635462
Brokered by Exp Realty,House for sale,1100000,9,4.0,3276.0,421 W 154th St,"New York, NY 10032","421 W 154th StNew York, NY 10032",United States,New York,New York County,New York,West 154th Street,"421 W 154th St, New York, NY 10032, USA",40.8307115,-73.9424229
Brokered by Serhant,Condo for sale,17500000,5,6.0,5499.0,37 Warren St Unit Phcd,"New York, NY 10007","37 Warren St Unit PhcdNew York, NY 10007",United States,New York,New York County,New York,Warren Street,"37 Warren St, New York, NY 10007, USA",40.7143354,-74.0087443
"Brokered by Island Advantage Rlty, Llc",Foreclosure,1749900,5,4.0,3740.0,517 W 142nd St,"New York, NY 10031","517 W 142nd StNew York, NY 10031",United States,New York,New York County,New York,West 142nd Street,"517 W 142nd St, New York, NY 10031, USA",40.824015,-73.9502067
Brokered by COMPASS,Townhouse for sale,5000000,10,9.0,6425.0,137 W 80th St,"Manhattan, NY 10024","137 W 80th StManhattan, NY 10024",United States,New York,New York County,New York,West 80th Street,"137 W 80th St, New York, NY 10024, USA",40.7832598,-73.976047
Brokered by Douglas Elliman - 575 Madison Ave,House for sale,56000000,11,10.0,24000.0,9 W 54th St,"New York, NY 10019","9 W 54th StNew York, NY 10019",United States,New York,New York County,New York,West 54th Street,"9 W 54th St, New York, NY 10019, USA",40.7616,-73.9761913
Built by Toll Brothers,For sale,1740000,2,2.0,1132.0,The Rockwell # 6H,"New York, NY 10025","The Rockwell # 6HNew York, NY 10025",United States,New York,New York County,New York,West 103rd Street,"218 W 103rd St, New York, NY 10025, USA",40.7986579,-73.9679035
"Brokered by Garfield, Leslie J. & Co., Inc.",Townhouse for sale,2750000,3,2.0,2184.207862,16 Gay St,"New York, NY 10014","16 Gay StNew York, NY 10014",United States,New York,New York County,New York,Gay Street,"16 Gay St, New York, NY 10014, USA",40.7336687,-74.000518
Brokered by Corcoran West Side,Townhouse for sale,3500000,6,6.0,6000.0,51 Hamilton Ter,"New York, NY 10031","51 Hamilton TerNew York, NY 10031",United States,New York,New York County,New York,Hamilton Terrace,"51 Hamilton Terrace, New York, NY 10031, USA",40.8229141,-73.9460622
