BROKERTITLE,TYPE,PRICE,BEDS,BATH,PROPERTYSQFT,ADDRESS,STATE,MAIN_ADDRESS,ADMINISTRATIVE_AREA_LEVEL_2,LOCALITY,SUBLOCALITY,STREET_NAME,LONG_NAME,FORMATTED_ADDRESS,LATITUDE,LONGITUDE
Brokered by COMPASS,Co-op for sale,259000,3,1.0,2184.207862,34-41 85th St Unit 1D,"Jackson Heights, NY 11372","34-41 85th St Unit 1DJackson Heights, NY 11372",New York,Queens County,Queens,Flushing,34-41,"34-41 85th St #1b, Flushing, NY 11372, USA",40.7531191,-73.8818757
Brokered by Jamie & Connie Real Estate Grp,Co-op for sale,430000,2,2.0,2184.207862,91-15 Lamont Ave Unit 6D,"Elmhurst, NY 11373","91-15 Lamont Ave Unit 6DElmhurst, NY 11373",New York,Queens County,Queens,Elmhurst,91-15,"91-15 Lamont Ave #6d, Elmhurst, NY 11373, USA",40.7438639,-73.8745722
Brokered by Keller Williams Rlty Landmark,Condo for sale,599000,2,2.0,974.0,92-29 Queens Blvd Unit 3H,"Rego Park, NY 11374","92-29 Queens Blvd Unit 3HRego Park, NY 11374",New York,Queens County,Queens,Rego Park,92-29,"92-29 Queens Blvd #3h, Rego Park, NY 11374, USA",40.7324713,-73.8670804
"Brokered by Apaus, Inc",Condo for sale,1300000,2,2.0,1244.0,10724 71st Rd Apt 9F,"Forest Hills, NY 11375","10724 71st Rd Apt 9FForest Hills, NY 11375",New York,Queens County,Queens,Forest Hills,10724,"10724 71st Rd #9f, Forest Hills, NY 11375, USA",40.7202429,-73.8430513
"Brokered by Nest Seekers International, Long Island",Co-op for sale,325000,1,1.0,2184.207862,35-45 81st St Unit E1,"Queens, NY 11372","35-45 81st St Unit E1Queens, NY 11372",New York,Queens County,Queens,Jackson Heights,35-45,"35-45 81st St e1, Jackson Heights, NY 11372, USA",40.7505078,-73.8851355
Brokered by E Realty International Corp,Co-op for sale,275000,1,1.0,2184.207862,44-55 Kissena Blvd Unit 5F,"Flushing, NY 11355","44-55 Kissena Blvd Unit 5FFlushing, NY 11355",New York,Queens County,Queens,Flushing,44-55,"44-55 Kissena Blvd #5f, Flushing, NY 11355, USA",40.7528774,-73.8211834
Brokered by Winzone Realty Inc,Co-op for sale,369000,2,1.0,2184.207862,43-40 Union St Unit 3D,"Flushing, NY 11355","43-40 Union St Unit 3DFlushing, NY 11355",New York,Queens County,Queens,Flushing,43-40,"43-40 Union St #3d, Flushing, NY 11355, USA",40.753455,-73.8209077
Brokered by Monticello Real Estate Group,Co-op for sale,198000,1,1.0,2184.207862,83-55 Woodhaven Blvd Unit 1A,"Woodhaven, NY 11421","83-55 Woodhaven Blvd Unit 1AWoodhaven, NY 11421",New York,Queens County,Queens,Woodhaven,83-55,"83-55 Woodhaven Blvd #1a, Woodhaven, NY 11421, USA",40.700309,-73.8535466
Brokered by Charles Rutenberg Realty Inc,Pending,950000,6,2.3738608579684373,3384.0,254-06 Craft Ave Unit 2,"Jamaica, NY 11422","254-06 Craft Ave Unit 2Jamaica, NY 11422",New York,Queens County,Queens,Jamaica,254-06,"254-06 Craft Ave #2, Jamaica, NY 11422, USA",40.6499031,-73.7354706
Brokered by Midas Realty,Condo for sale,759000,3,2.0,1200.0,206-04 Emily Rd Unit 37M,"Bayside, NY 11360","206-04 Emily Rd Unit 37MBayside, NY 11360",New York,Queens County,Queens,Bayside,206-4,"206-4 Emily Rd #37, Bayside, NY 11360, USA",40.7881763,-73.7877051
